,date,time,team1Name,team1Points,team2Name,team2Points,venue,referee,totalPoints,winner,hour,day,month,year,season,team1Bps,team2Bps,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals,avgLast5Scores,avgLast5ScoresAgainst,avgLast5Bps,avgLast5BpsAgainst,avgLast5Tries,avgLast5Conversions,avgLast5Penalties,avgLast5DropGoals,avgLast5TriesAgainst,avgLast5ConversionsAgainst,avgLast5PenaltiesAgainst,avgLast5DropGoalsAgainst,team1Code,team2Code,monthCode,venueCode,dayCode,refereeCode,seasonCode,targetCode
180,2015-02-27,19:45,Northampton,17,Harlequins,13,Franklin's Gardens,Tim Wigglesworth,30,H,19,Fri,Feb,2015,2014-15,0,1,3,1,0,0,1,1,2,0,22.4,19.6,0.2,0.6,2.6,2.0,1.8,0.0,2.0,1.8,2.0,0.0,9,4,3,3,0,18,0,1
181,2015-02-27,19:45,Harlequins,13,Northampton,17,Franklin's Gardens,Tim Wigglesworth,30,H,19,Fri,Feb,2015,2014-15,1,0,1,1,2,0,3,1,0,0,21.6,24.8,0.6,0.2,2.6,1.6,1.8,0.0,2.0,2.0,3.6,0.0,4,9,3,3,0,18,0,1
189,2015-02-28,15:15,Bath,6,Exeter,16,Sandy Park,Dean Richards,22,H,15,Sat,Feb,2015,2014-15,0,0,0,0,2,0,1,1,3,0,23.0,22.4,0.4,0.2,2.8,2.4,1.4,0.0,2.4,1.6,2.4,0.0,0,2,3,12,2,6,0,1
186,2015-02-28,15:00,Saracens,22,Newcastle,17,Allianz Park,Andrew Small,39,H,15,Sat,Feb,2015,2014-15,0,1,1,1,5,0,3,1,0,0,22.8,18.2,0.4,0.2,2.4,1.2,2.8,0.0,2.0,1.4,1.8,0.0,11,8,3,1,2,2,0,1
185,2015-02-28,15:00,Sale,8,Leicester,28,Welford Road,Greg Garner,36,H,15,Sat,Feb,2015,2014-15,0,0,1,0,1,0,3,2,3,0,26.4,20.4,0.6,0.6,3.4,2.6,1.4,0.0,2.6,2.2,0.8,0.2,10,5,3,21,2,7,0,1
187,2015-02-28,15:00,Newcastle,17,Saracens,22,Allianz Park,Andrew Small,39,H,15,Sat,Feb,2015,2014-15,1,0,3,1,0,0,1,1,5,0,26.4,28.0,0.6,0.4,3.6,2.4,1.2,0.0,3.6,2.6,1.6,0.0,8,11,3,1,2,2,0,1
183,2015-02-28,14:30,London Irish,50,London Welsh,12,Kassam Stadium,Matthew Carley,62,A,14,Sat,Feb,2015,2014-15,1,0,8,5,0,0,2,1,0,0,14.6,16.8,0.6,0.2,1.4,0.8,1.8,0.2,1.2,0.6,3.0,0.2,6,7,3,4,2,14,0,0
184,2015-02-28,15:00,Leicester,28,Sale,8,Welford Road,Greg Garner,36,H,15,Sat,Feb,2015,2014-15,0,0,3,2,3,0,1,0,1,0,18.2,18.2,0.2,1.0,1.0,0.6,3.8,0.2,1.8,1.0,2.4,0.0,5,10,3,21,2,7,0,1
188,2015-02-28,15:15,Exeter,16,Bath,6,Sandy Park,Dean Richards,22,H,15,Sat,Feb,2015,2014-15,0,0,1,1,3,0,0,0,2,0,28.6,24.6,0.6,0.4,3.0,2.6,2.8,0.0,2.8,2.0,1.8,0.4,2,0,3,12,2,6,0,1
182,2015-02-28,14:30,London Welsh,12,London Irish,50,Kassam Stadium,Matthew Carley,62,A,14,Sat,Feb,2015,2014-15,0,1,2,1,0,0,8,5,0,0,10.2,37.2,0.0,0.8,1.0,0.8,1.2,0.0,5.4,4.2,0.6,0.0,7,6,3,4,2,14,0,0
191,2015-03-01,14:00,Gloucester,21,Wasps,32,Ricoh Arena,Wayne Barnes,53,H,14,Sun,Mar,2015,2014-15,0,1,2,1,3,0,5,2,1,0,27.2,21.2,0.6,0.4,2.4,2.2,3.4,0.2,2.0,1.4,2.8,0.0,3,12,6,11,3,20,0,1
190,2015-03-01,14:00,Wasps,32,Gloucester,21,Ricoh Arena,Wayne Barnes,53,H,14,Sun,Mar,2015,2014-15,1,0,5,2,1,0,2,1,3,0,31.4,21.4,0.6,0.4,3.8,3.2,1.8,0.2,2.2,1.6,2.4,0.0,12,3,6,11,3,20,0,1
193,2015-03-06,19:45,Sale,3,Bath,12,The Recreation Ground,Wayne Barnes,15,H,19,Fri,Mar,2015,2014-15,0,0,0,0,1,0,0,0,4,0,22.0,19.6,0.2,0.4,2.8,2.2,1.2,0.0,2.4,2.0,1.0,0.2,10,0,6,17,0,20,0,1
192,2015-03-06,19:45,Bath,12,Sale,3,The Recreation Ground,Wayne Barnes,15,H,19,Fri,Mar,2015,2014-15,0,0,0,0,4,0,0,0,1,0,18.0,22.8,0.2,0.2,2.0,1.6,1.6,0.0,2.2,1.4,3.0,0.0,0,10,6,17,0,20,0,1
195,2015-03-07,15:00,London Welsh,19,Exeter,74,Sandy Park,Craig Maxwell-Keys,93,H,15,Sat,Mar,2015,2014-15,0,1,3,2,0,0,10,9,2,0,10.8,42.4,0.0,1.0,1.4,1.0,0.6,0.0,6.4,4.6,0.4,0.0,7,2,6,12,2,4,0,1
194,2015-03-07,15:00,Exeter,74,London Welsh,19,Sandy Park,Craig Maxwell-Keys,93,H,15,Sat,Mar,2015,2014-15,1,0,10,9,2,0,3,2,0,0,29.0,19.6,0.6,0.2,2.8,2.4,3.4,0.0,2.0,1.2,2.0,0.4,2,7,6,12,2,4,0,1
198,2015-03-07,15:15,Gloucester,33,Northampton,33,Kingsholm,Greg Garner,66,D,15,Sat,Mar,2015,2014-15,0,0,3,3,4,0,3,3,4,0,26.8,21.6,0.4,0.6,2.4,2.0,3.4,0.2,2.4,1.2,2.4,0.0,3,9,6,5,2,7,0,0
199,2015-03-07,15:15,Northampton,33,Gloucester,33,Kingsholm,Greg Garner,66,D,15,Sat,Mar,2015,2014-15,0,0,3,3,4,0,3,3,4,0,19.8,17.2,0.2,0.6,2.6,1.6,1.2,0.0,1.6,1.6,2.0,0.0,9,3,6,5,2,7,0,0
196,2015-03-07,15:00,Harlequins,26,London Irish,20,Twickenham Stoop,JP Doyle,46,H,15,Sat,Mar,2015,2014-15,0,1,2,2,4,0,2,2,2,0,19.2,22.2,0.6,0.2,2.2,1.4,1.8,0.0,2.0,1.6,3.0,0.0,4,6,6,20,2,11,0,1
197,2015-03-07,15:00,London Irish,20,Harlequins,26,Twickenham Stoop,JP Doyle,46,H,15,Sat,Mar,2015,2014-15,1,0,2,2,2,0,2,2,4,0,19.8,17.4,0.8,0.2,2.4,1.2,1.6,0.2,1.6,0.8,2.4,0.2,6,4,6,20,2,11,0,1
203,2015-03-08,15:00,Leicester,16,Newcastle,12,Kingston Park,Luke Pearce,28,A,15,Sun,Mar,2015,2014-15,0,1,1,1,3,0,2,1,0,0,17.4,13.8,0.0,0.6,0.8,0.4,4.0,0.2,1.2,0.6,2.2,0.0,5,8,6,6,3,13,0,0
201,2015-03-08,14:00,Saracens,26,Wasps,17,Ricoh Arena,Matthew Carley,43,A,14,Sun,Mar,2015,2014-15,0,0,2,2,4,0,2,2,1,0,22.2,17.0,0.4,0.2,2.0,1.0,3.4,0.0,2.0,1.4,1.4,0.0,11,12,6,11,3,14,0,0
200,2015-03-08,14:00,Wasps,17,Saracens,26,Ricoh Arena,Matthew Carley,43,A,14,Sun,Mar,2015,2014-15,0,0,2,2,1,0,2,2,4,0,31.8,21.0,0.8,0.2,4.2,3.0,1.4,0.2,2.2,1.4,2.4,0.0,12,11,6,11,3,14,0,0
202,2015-03-08,15:00,Newcastle,12,Leicester,16,Kingston Park,Luke Pearce,28,A,15,Sun,Mar,2015,2014-15,1,0,2,1,0,0,1,1,3,0,25.2,27.4,0.6,0.4,3.6,2.4,0.8,0.0,3.2,2.4,2.2,0.0,8,5,6,6,3,13,0,0
204,2015-03-27,19:45,Northampton,52,Wasps,30,Franklin's Gardens,Craig Maxwell-Keys,82,H,19,Fri,Mar,2015,2014-15,1,0,7,4,3,0,3,3,3,0,18.6,17.6,0.0,0.4,2.2,1.4,1.6,0.0,1.4,1.4,2.6,0.0,9,12,6,3,0,4,0,1
205,2015-03-27,19:45,Wasps,30,Northampton,52,Franklin's Gardens,Craig Maxwell-Keys,82,H,19,Fri,Mar,2015,2014-15,0,1,3,3,3,0,7,4,3,0,27.0,23.0,0.6,0.2,3.6,2.4,1.4,0.0,2.4,1.6,2.6,0.0,12,9,6,3,0,4,0,1
